,Unnamed: 0,Rank,University,City,State,Tuition,Enrollment,url
0,0,#1,Princeton University,Princeton,NJ,53890,5422.0,www.princeton.edu
1,1,#2,Harvard University,Cambridge,MA,54002,6755.0,www.harvard.edu
2,2,#3,Columbia University,New York,NY,64380,6245.0,https://www.columbia.edu/
3,3,#4,Massachusetts Institute of Technology,Cambridge,MA,53818,4530.0,web.mit.edu/
4,4,#4,Yale University,New Haven,CT,57700,6092.0,https://www.yale.edu
5,5,#6,Stanford University,Stanford,CA,56169,6996.0,www.stanford.edu/
6,6,#6,University of Chicago,Chicago,IL,59298,6734.0,WWW.UCHICAGO.EDU
7,7,#8,University of Pennsylvania,Philadelphia,PA,60042,10019.0,www.upenn.edu
8,8,#9,California Institute of Technology,Pasadena,CA,56862,938.0,www.caltech.edu
9,9,#9,Johns Hopkins University,Baltimore,MD,57010,6256.0,www.jhu.edu
10,10,#9,Northwestern University,Evanston,IL,58701,8327.0,www.northwestern.edu
11,11,#12,Duke University,Durham,NC,60488,6649.0,WWW.DUKE.EDU
12,12,#13,Dartmouth College,Hanover,NH,59458,4459.0,www.dartmouth.edu
13,13,#14,Brown University,Providence,RI,60696,7160.0,www.brown.edu
14,14,#14,Vanderbilt University,Nashville,TN,54158,6886.0,www.vanderbilt.edu
15,15,#16,Rice University,Houston,TX,51107,3989.0,www.rice.edu
16,16,#16,Washington University in St. Louis,St. Louis,MO,57386,7822.0,https://wustl.edu/
17,17,#18,Cornell University,Ithaca,NY,59316,15043.0,www.cornell.edu
18,18,#19,University of Notre Dame,Notre Dame,IN,57699,8731.0,www.nd.edu
19,19,#20,University of California--Los Angeles,Los Angeles,CA,42980,31543.0,https://www.ucla.edu/
20,20,#21,Emory University,Atlanta,GA,53868,7118.0,www.emory.edu
21,21,#22,University of California--Berkeley,Berkeley,CA,43980,31780.0,https://www.berkeley.edu/
22,22,#23,Georgetown University,Washington,DC,57928,7513.0,www.georgetown.edu
23,23,#24,University of Michigan--Ann Arbor,Ann Arbor,MI,52266,31266.0,https://umich.edu/
24,24,#24,University of Southern California,Los Angeles,CA,59072,20351.0,www.usc.edu/
25,25,#26,Carnegie Mellon University,Pittsburgh,PA,58924,7022.0,www.cmu.edu/
26,26,#26,University of Virginia,Charlottesville,VA,52957,17011.0,https://www.virginia.edu/
27,27,#28,University of North Carolina--Chapel Hill,Chapel Hill,NC,36200,19355.0,https://www.unc.edu/0
28,28,#28,Wake Forest University,Winston-Salem,NC,57760,5287.0,www.wfu.edu
29,29,#30,New York University,New York,NY,54880,26981.0,www.nyu.edu
30,30,#30,Tufts University,Medford,MA,60862,5907.0,https://www.tufts.edu
31,31,#30,University of California--Santa Barbara,Santa Barbara,CA,44145,23349.0,https://www.ucsb.edu/
32,32,#30,University of Florida,Gainesville,FL,28658,35405.0,www.ufl.edu/
33,33,#34,University of Rochester,Rochester,NY,58208,6780.0,https://www.rochester.edu
34,34,#35,Boston College,Chestnut Hill,MA,60202,9370.0,www.bc.edu
35,35,#35,Georgia Institute of Technology,Atlanta,GA,33794,15964.0,https://www.gatech.edu/
36,36,#35,University of California--Irvine,Irvine,CA,43686,30382.0,https://uci.edu/
37,37,#35,University of California--San Diego,La Jolla,CA,44205,30794.0,https://ucsd.edu/
38,38,#39,University of California--Davis,Davis,CA,44407,30982.0,https://ucd.edu/
39,39,#39,William & Mary,Williamsburg,VA,46283,6256.0,https://www.wm.edu
40,40,#41,Tulane University,New Orleans,LA,58852,6968.0,https://tulane.edu/
41,41,#42,Boston University,Boston,MA,58072,17983.0,www.bu.edu
42,42,#42,Brandeis University,Waltham,MA,57615,3688.0,www.brandeis.edu/
43,43,#42,Case Western Reserve University,Cleveland,OH,52948,5383.0,www.case.edu
44,44,#42,University of Texas at Austin,Austin,TX,39322,40163.0,https://admissions.utexas.edu/
45,45,#42,University of Wisconsin--Madison,Madison,WI,38629,33456.0,https://www.wisc.edu/
46,46,#47,University of Georgia,Athens,GA,31120,29848.0,www.uga.edu
47,47,#47,University of Illinois--Urbana-Champaign,Champaign,IL,34312,34120.0,https://illinois.edu/
48,48,#49,Lehigh University,Bethlehem,PA,55260,5178.0,www.lehigh.edu
49,49,#49,Northeastern University,Boston,MA,55382,14202.0,www.northeastern.edu
50,50,#49,Pepperdine University,Malibu,CA,58002,3583.0,www.pepperdine.edu/
51,51,#49,University of Miami,Coral Gables,FL,53682,11307.0,www.miami.edu/
52,52,#53,Ohio State University--Columbus,Columbus,OH,33501,46818.0,https://www.osu.edu/
53,53,#53,Purdue University--West Lafayette,West Lafayette,IN,28794,33646.0,https://www.purdue.edu/
54,54,#53,Rensselaer Polytechnic Institute,Troy,NY,57012,6241.0,www.rpi.edu
55,55,#53,Santa Clara University,Santa Clara,CA,55629,5694.0,www.scu.edu
56,56,#53,Villanova University,Villanova,PA,57710,6865.0,www.villanova.edu
57,57,#58,Florida State University,Tallahassee,FL,21673,33270.0,www.fsu.edu
58,58,#58,Syracuse University,Syracuse,NY,55926,15275.0,https://www.syracuse.edu
